id,PaperTitle,Year,Author,Publication,Url
0,Introduction to metallic nanoparticles,2010,VV Mody,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2996072/
1,Biological synthesis of metallic nanoparticles,2010,KN Thakkar,Elsevier,https://www.sciencedirect.com/science/article/pii/S1549963409001154
2,Applications of biosynthesized metallic nanoparticles–a review,2014,A Schröfel,Elsevier,https://www.sciencedirect.com/science/article/pii/S1742706114002347
3,Metallic nanoparticles,2008,J Blackman,books.google.com,https://books.google.com/books?hl=en&lr=&id=qRStE4M9ZAkC&oi=fnd&pg=PP1&dq=metallic+nanoparticles&ots=RURJpU5mlf&sig=EfP7WG72UHx8qKVgP1Jp1BkcV7g
4,A review of characterization and physical property studies of metallic nanoparticles,2001,JT Lue,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022369701000993
5,Synthesis of metallic nanoparticles using plant extracts,2013,AK Mittal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0734975013000050
6,Surface plasmons in metallic nanoparticles: fundamentals and applications,2011,MA García,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/0022-3727/44/28/283001/meta
7,Pharmacokinetics of metallic nanoparticles,2015,Z Lin,Library,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wnan.1304
8,Electron dynamics in metallic nanoparticles,2000,JY Bigot,Elsevier,https://www.sciencedirect.com/science/article/pii/S0301010499002980
9,Metallic nanoparticles: technology overview & drug delivery applications in oncology,2010,MZ Ahmad,Francis,https://www.tandfonline.com/doi/abs/10.1517/17425247.2010.498473
10,Introduction to metallic nanoparticles,2010,VV Mody,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2996072/
11,Biological synthesis of metallic nanoparticles,2010,KN Thakkar,Elsevier,https://www.sciencedirect.com/science/article/pii/S1549963409001154
12,Applications of biosynthesized metallic nanoparticles–a review,2014,A Schröfel,Elsevier,https://www.sciencedirect.com/science/article/pii/S1742706114002347
13,Metallic nanoparticles,2008,J Blackman,books.google.com,https://books.google.com/books?hl=en&lr=&id=qRStE4M9ZAkC&oi=fnd&pg=PP1&dq=metallic+nanoparticles&ots=RURJpU5mqd&sig=5lD9ogY-ob_byo4qGPf-Ah18VqE
14,A review of characterization and physical property studies of metallic nanoparticles,2001,JT Lue,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022369701000993
15,Synthesis of metallic nanoparticles using plant extracts,2013,AK Mittal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0734975013000050
16,Surface plasmons in metallic nanoparticles: fundamentals and applications,2011,MA García,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/0022-3727/44/28/283001/meta
17,Pharmacokinetics of metallic nanoparticles,2015,Z Lin,Library,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wnan.1304
18,Electron dynamics in metallic nanoparticles,2000,JY Bigot,Elsevier,https://www.sciencedirect.com/science/article/pii/S0301010499002980
19,Metallic nanoparticles: technology overview & drug delivery applications in oncology,2010,MZ Ahmad,Francis,https://www.tandfonline.com/doi/abs/10.1517/17425247.2010.498473
20,Introduction to metallic nanoparticles,2010,VV Mody,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2996072/
21,Biological synthesis of metallic nanoparticles,2010,KN Thakkar,Elsevier,https://www.sciencedirect.com/science/article/pii/S1549963409001154
22,Applications of biosynthesized metallic nanoparticles–a review,2014,A Schröfel,Elsevier,https://www.sciencedirect.com/science/article/pii/S1742706114002347
23, Metallic nanoparticles,2008,J Blackman,books.google.com,https://books.google.com/books?hl=en&lr=&id=qRStE4M9ZAkC&oi=fnd&pg=PP1&dq=metallic+nanoparticles&ots=RURJpU5njf&sig=GvymaGVPZiLTu3dr7hyxzUl7O5w
24,A review of characterization and physical property studies of metallic nanoparticles,2001,JT Lue,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022369701000993
25,Synthesis of metallic nanoparticles using plant extracts,2013,AK Mittal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0734975013000050
26,Surface plasmons in metallic nanoparticles: fundamentals and applications,2011,MA García,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/0022-3727/44/28/283001/meta
27,Pharmacokinetics of metallic nanoparticles,2015,Z Lin,Library,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wnan.1304
28,Electron dynamics in metallic nanoparticles,2000,JY Bigot,Elsevier,https://www.sciencedirect.com/science/article/pii/S0301010499002980
29,Metallic nanoparticles: technology overview & drug delivery applications in oncology,2010,MZ Ahmad,Francis,https://www.tandfonline.com/doi/abs/10.1517/17425247.2010.498473
30,Introduction to metallic nanoparticles,2010,VV Mody,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2996072/
31,Biological synthesis of metallic nanoparticles,2010,KN Thakkar,Elsevier,https://www.sciencedirect.com/science/article/pii/S1549963409001154
32,Applications of biosynthesized metallic nanoparticles–a review,2014,A Schröfel,Elsevier,https://www.sciencedirect.com/science/article/pii/S1742706114002347
33, Metallic nanoparticles,2008,J Blackman,books.google.com,https://books.google.com/books?hl=en&lr=&id=qRStE4M9ZAkC&oi=fnd&pg=PP1&dq=metallic+nanoparticles&ots=RURJpU5nmg&sig=xKxA7TAhlKxEZZeoBBz9qAq6bm8
34,A review of characterization and physical property studies of metallic nanoparticles,2001,JT Lue,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022369701000993
35,Synthesis of metallic nanoparticles using plant extracts,2013,AK Mittal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0734975013000050
36,Surface plasmons in metallic nanoparticles: fundamentals and applications,2011,MA García,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/0022-3727/44/28/283001/meta
37,Pharmacokinetics of metallic nanoparticles,2015,Z Lin,Library,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wnan.1304
38,Electron dynamics in metallic nanoparticles,2000,JY Bigot,Elsevier,https://www.sciencedirect.com/science/article/pii/S0301010499002980
39,Metallic nanoparticles: technology overview & drug delivery applications in oncology,2010,MZ Ahmad,Francis,https://www.tandfonline.com/doi/abs/10.1517/17425247.2010.498473
40,Introduction to metallic nanoparticles,2010,VV Mody,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2996072/
41,Biological synthesis of metallic nanoparticles,2010,KN Thakkar,Elsevier,https://www.sciencedirect.com/science/article/pii/S1549963409001154
42,Applications of biosynthesized metallic nanoparticles–a review,2014,A Schröfel,Elsevier,https://www.sciencedirect.com/science/article/pii/S1742706114002347
43, Metallic nanoparticles,2008,J Blackman,books.google.com,https://books.google.com/books?hl=en&lr=&id=qRStE4M9ZAkC&oi=fnd&pg=PP1&dq=metallic+nanoparticles&ots=RURJpU5nph&sig=ol-OyTeDBjpBMpqThrXuAYjGDFA
44,A review of characterization and physical property studies of metallic nanoparticles,2001,JT Lue,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022369701000993
45,Synthesis of metallic nanoparticles using plant extracts,2013,AK Mittal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0734975013000050
46,Surface plasmons in metallic nanoparticles: fundamentals and applications,2011,MA García,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/0022-3727/44/28/283001/meta
47,Pharmacokinetics of metallic nanoparticles,2015,Z Lin,Library,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wnan.1304
48,Electron dynamics in metallic nanoparticles,2000,JY Bigot,Elsevier,https://www.sciencedirect.com/science/article/pii/S0301010499002980
49,Metallic nanoparticles: technology overview & drug delivery applications in oncology,2010,MZ Ahmad,Francis,https://www.tandfonline.com/doi/abs/10.1517/17425247.2010.498473
50,Introduction to metallic nanoparticles,2010,VV Mody,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2996072/
51,Biological synthesis of metallic nanoparticles,2010,KN Thakkar,Elsevier,https://www.sciencedirect.com/science/article/pii/S1549963409001154
52,Applications of biosynthesized metallic nanoparticles–a review,2014,A Schröfel,Elsevier,https://www.sciencedirect.com/science/article/pii/S1742706114002347
53, Metallic nanoparticles,2008,J Blackman,books.google.com,https://books.google.com/books?hl=en&lr=&id=qRStE4M9ZAkC&oi=fnd&pg=PP1&dq=metallic+nanoparticles&ots=RURJpU5oj8&sig=r-kdoFu3wyYOrEZqCWh9rWczwqU
54,A review of characterization and physical property studies of metallic nanoparticles,2001,JT Lue,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022369701000993
55,Synthesis of metallic nanoparticles using plant extracts,2013,AK Mittal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0734975013000050
56,Surface plasmons in metallic nanoparticles: fundamentals and applications,2011,MA García,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/0022-3727/44/28/283001/meta
57,Pharmacokinetics of metallic nanoparticles,2015,Z Lin,Library,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wnan.1304
58,Electron dynamics in metallic nanoparticles,2000,JY Bigot,Elsevier,https://www.sciencedirect.com/science/article/pii/S0301010499002980
59,Metallic nanoparticles: technology overview & drug delivery applications in oncology,2010,MZ Ahmad,Francis,https://www.tandfonline.com/doi/abs/10.1517/17425247.2010.498473
60,Introduction to metallic nanoparticles,2010,VV Mody,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2996072/
61,Biological synthesis of metallic nanoparticles,2010,KN Thakkar,Elsevier,https://www.sciencedirect.com/science/article/pii/S1549963409001154
62,Applications of biosynthesized metallic nanoparticles–a review,2014,A Schröfel,Elsevier,https://www.sciencedirect.com/science/article/pii/S1742706114002347
63, Metallic nanoparticles,2008,J Blackman,books.google.com,https://books.google.com/books?hl=en&lr=&id=qRStE4M9ZAkC&oi=fnd&pg=PP1&dq=metallic+nanoparticles&ots=RURJpU5oma&sig=GMzcxEX4Mdc2G1vsKxSF-SKSW24
64,A review of characterization and physical property studies of metallic nanoparticles,2001,JT Lue,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022369701000993
65,Synthesis of metallic nanoparticles using plant extracts,2013,AK Mittal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0734975013000050
66,Surface plasmons in metallic nanoparticles: fundamentals and applications,2011,MA García,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/0022-3727/44/28/283001/meta
67,Pharmacokinetics of metallic nanoparticles,2015,Z Lin,Library,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wnan.1304
68,Electron dynamics in metallic nanoparticles,2000,JY Bigot,Elsevier,https://www.sciencedirect.com/science/article/pii/S0301010499002980
69,Metallic nanoparticles: technology overview & drug delivery applications in oncology,2010,MZ Ahmad,Francis,https://www.tandfonline.com/doi/abs/10.1517/17425247.2010.498473
70,Introduction to metallic nanoparticles,2010,VV Mody,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2996072/
71,Biological synthesis of metallic nanoparticles,2010,KN Thakkar,Elsevier,https://www.sciencedirect.com/science/article/pii/S1549963409001154
72,Applications of biosynthesized metallic nanoparticles–a review,2014,A Schröfel,Elsevier,https://www.sciencedirect.com/science/article/pii/S1742706114002347
73, Metallic nanoparticles,2008,J Blackman,books.google.com,https://books.google.com/books?hl=en&lr=&id=qRStE4M9ZAkC&oi=fnd&pg=PP1&dq=metallic+nanoparticles&ots=RURJpU5opb&sig=wYnl2K80eIABEgMSHReiobwoCQQ
74,A review of characterization and physical property studies of metallic nanoparticles,2001,JT Lue,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022369701000993
75,Synthesis of metallic nanoparticles using plant extracts,2013,AK Mittal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0734975013000050
76,Surface plasmons in metallic nanoparticles: fundamentals and applications,2011,MA García,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/0022-3727/44/28/283001/meta
77,Pharmacokinetics of metallic nanoparticles,2015,Z Lin,Library,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wnan.1304
78,Electron dynamics in metallic nanoparticles,2000,JY Bigot,Elsevier,https://www.sciencedirect.com/science/article/pii/S0301010499002980
79,Metallic nanoparticles: technology overview & drug delivery applications in oncology,2010,MZ Ahmad,Francis,https://www.tandfonline.com/doi/abs/10.1517/17425247.2010.498473
80,Introduction to metallic nanoparticles,2010,VV Mody,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2996072/
81,Biological synthesis of metallic nanoparticles,2010,KN Thakkar,Elsevier,https://www.sciencedirect.com/science/article/pii/S1549963409001154
82,Applications of biosynthesized metallic nanoparticles–a review,2014,A Schröfel,Elsevier,https://www.sciencedirect.com/science/article/pii/S1742706114002347
83, Metallic nanoparticles,2008,J Blackman,books.google.com,https://books.google.com/books?hl=en&lr=&id=qRStE4M9ZAkC&oi=fnd&pg=PP1&dq=metallic+nanoparticles&ots=RURJpU6fic&sig=W3RxNh4PM0LwzO1kLKO8oyKAK4M
84,A review of characterization and physical property studies of metallic nanoparticles,2001,JT Lue,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022369701000993
85,Synthesis of metallic nanoparticles using plant extracts,2013,AK Mittal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0734975013000050
86,Surface plasmons in metallic nanoparticles: fundamentals and applications,2011,MA García,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/0022-3727/44/28/283001/meta
87,Pharmacokinetics of metallic nanoparticles,2015,Z Lin,Library,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wnan.1304
88,Electron dynamics in metallic nanoparticles,2000,JY Bigot,Elsevier,https://www.sciencedirect.com/science/article/pii/S0301010499002980
89,Metallic nanoparticles: technology overview & drug delivery applications in oncology,2010,MZ Ahmad,Francis,https://www.tandfonline.com/doi/abs/10.1517/17425247.2010.498473
90,Introduction to metallic nanoparticles,2010,VV Mody,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2996072/
91,Biological synthesis of metallic nanoparticles,2010,KN Thakkar,Elsevier,https://www.sciencedirect.com/science/article/pii/S1549963409001154
92,Applications of biosynthesized metallic nanoparticles–a review,2014,A Schröfel,Elsevier,https://www.sciencedirect.com/science/article/pii/S1742706114002347
93, Metallic nanoparticles,2008,J Blackman,books.google.com,https://books.google.com/books?hl=en&lr=&id=qRStE4M9ZAkC&oi=fnd&pg=PP1&dq=metallic+nanoparticles&ots=RURJpU6fld&sig=C-_xLwpVBTiuRHmfmfAC9FxWD3I
94,A review of characterization and physical property studies of metallic nanoparticles,2001,JT Lue,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022369701000993
95,Synthesis of metallic nanoparticles using plant extracts,2013,AK Mittal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0734975013000050
96,Surface plasmons in metallic nanoparticles: fundamentals and applications,2011,MA García,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/0022-3727/44/28/283001/meta
97,Pharmacokinetics of metallic nanoparticles,2015,Z Lin,Library,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wnan.1304
98,Electron dynamics in metallic nanoparticles,2000,JY Bigot,Elsevier,https://www.sciencedirect.com/science/article/pii/S0301010499002980
99,Metallic nanoparticles: technology overview & drug delivery applications in oncology,2010,MZ Ahmad,Francis,https://www.tandfonline.com/doi/abs/10.1517/17425247.2010.498473
100,Introduction to metallic nanoparticles,2010,VV Mody,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2996072/
101,Biological synthesis of metallic nanoparticles,2010,KN Thakkar,Elsevier,https://www.sciencedirect.com/science/article/pii/S1549963409001154
102,Applications of biosynthesized metallic nanoparticles–a review,2014,A Schröfel,Elsevier,https://www.sciencedirect.com/science/article/pii/S1742706114002347
103, Metallic nanoparticles,2008,J Blackman,books.google.com,https://books.google.com/books?hl=en&lr=&id=qRStE4M9ZAkC&oi=fnd&pg=PP1&dq=metallic+nanoparticles&ots=RURJpU6fof&sig=aipzz6xHiGslclTcKRPEP6QJjY4
104,A review of characterization and physical property studies of metallic nanoparticles,2001,JT Lue,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022369701000993
105,Synthesis of metallic nanoparticles using plant extracts,2013,AK Mittal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0734975013000050
106,Surface plasmons in metallic nanoparticles: fundamentals and applications,2011,MA García,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/0022-3727/44/28/283001/meta
107,Pharmacokinetics of metallic nanoparticles,2015,Z Lin,Library,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wnan.1304
108,Electron dynamics in metallic nanoparticles,2000,JY Bigot,Elsevier,https://www.sciencedirect.com/science/article/pii/S0301010499002980
109,Metallic nanoparticles: technology overview & drug delivery applications in oncology,2010,MZ Ahmad,Francis,https://www.tandfonline.com/doi/abs/10.1517/17425247.2010.498473
110,Introduction to metallic nanoparticles,2010,VV Mody,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2996072/
111,Biological synthesis of metallic nanoparticles,2010,KN Thakkar,Elsevier,https://www.sciencedirect.com/science/article/pii/S1549963409001154
112,Applications of biosynthesized metallic nanoparticles–a review,2014,A Schröfel,Elsevier,https://www.sciencedirect.com/science/article/pii/S1742706114002347
113, Metallic nanoparticles,2008,J Blackman,books.google.com,https://books.google.com/books?hl=en&lr=&id=qRStE4M9ZAkC&oi=fnd&pg=PP1&dq=metallic+nanoparticles&ots=RURJpU6ghg&sig=XV7xNr6Z5VlXtNhmkbcahFKe4lw
114,A review of characterization and physical property studies of metallic nanoparticles,2001,JT Lue,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022369701000993
115,Synthesis of metallic nanoparticles using plant extracts,2013,AK Mittal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0734975013000050
116,Surface plasmons in metallic nanoparticles: fundamentals and applications,2011,MA García,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/0022-3727/44/28/283001/meta
117,Pharmacokinetics of metallic nanoparticles,2015,Z Lin,Library,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wnan.1304
118,Electron dynamics in metallic nanoparticles,2000,JY Bigot,Elsevier,https://www.sciencedirect.com/science/article/pii/S0301010499002980
119,Metallic nanoparticles: technology overview & drug delivery applications in oncology,2010,MZ Ahmad,Francis,https://www.tandfonline.com/doi/abs/10.1517/17425247.2010.498473
