id,PaperTitle,Year,Author,Publication,Url
120,Introduction to metallic nanoparticles,2010,VV Mody,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2996072/
121,Biological synthesis of metallic nanoparticles,2010,KN Thakkar,Elsevier,https://www.sciencedirect.com/science/article/pii/S1549963409001154
122,Applications of biosynthesized metallic nanoparticles–a review,2014,A Schröfel,Elsevier,https://www.sciencedirect.com/science/article/pii/S1742706114002347
123, Metallic nanoparticles,2008,J Blackman,books.google.com,https://books.google.com/books?hl=en&lr=&id=qRStE4M9ZAkC&oi=fnd&pg=PP1&dq=metallic+nanoparticles&ots=RURJpU6gkh&sig=nAtW3Hq5AM_G7xPSYqsFDDOKvq8
124,A review of characterization and physical property studies of metallic nanoparticles,2001,JT Lue,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022369701000993
125,Synthesis of metallic nanoparticles using plant extracts,2013,AK Mittal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0734975013000050
126,Surface plasmons in metallic nanoparticles: fundamentals and applications,2011,MA García,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/0022-3727/44/28/283001/meta
127,Pharmacokinetics of metallic nanoparticles,2015,Z Lin,Library,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wnan.1304
128,Electron dynamics in metallic nanoparticles,2000,JY Bigot,Elsevier,https://www.sciencedirect.com/science/article/pii/S0301010499002980
129,Metallic nanoparticles: technology overview & drug delivery applications in oncology,2010,MZ Ahmad,Francis,https://www.tandfonline.com/doi/abs/10.1517/17425247.2010.498473
130,Introduction to metallic nanoparticles,2010,VV Mody,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2996072/
131,Biological synthesis of metallic nanoparticles,2010,KN Thakkar,Elsevier,https://www.sciencedirect.com/science/article/pii/S1549963409001154
132,Applications of biosynthesized metallic nanoparticles–a review,2014,A Schröfel,Elsevier,https://www.sciencedirect.com/science/article/pii/S1742706114002347
133, Metallic nanoparticles,2008,J Blackman,books.google.com,https://books.google.com/books?hl=en&lr=&id=qRStE4M9ZAkC&oi=fnd&pg=PP1&dq=metallic+nanoparticles&ots=RURJpU6go8&sig=LZ1X7Bl4TOJTo5AcFiUAMURhFI4
134,A review of characterization and physical property studies of metallic nanoparticles,2001,JT Lue,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022369701000993
135,Synthesis of metallic nanoparticles using plant extracts,2013,AK Mittal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0734975013000050
136,Surface plasmons in metallic nanoparticles: fundamentals and applications,2011,MA García,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/0022-3727/44/28/283001/meta
137,Pharmacokinetics of metallic nanoparticles,2015,Z Lin,Library,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wnan.1304
138,Electron dynamics in metallic nanoparticles,2000,JY Bigot,Elsevier,https://www.sciencedirect.com/science/article/pii/S0301010499002980
139,Metallic nanoparticles: technology overview & drug delivery applications in oncology,2010,MZ Ahmad,Francis,https://www.tandfonline.com/doi/abs/10.1517/17425247.2010.498473
140,Introduction to metallic nanoparticles,2010,VV Mody,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2996072/
141,Biological synthesis of metallic nanoparticles,2010,KN Thakkar,Elsevier,https://www.sciencedirect.com/science/article/pii/S1549963409001154
142,Applications of biosynthesized metallic nanoparticles–a review,2014,A Schröfel,Elsevier,https://www.sciencedirect.com/science/article/pii/S1742706114002347
143, Metallic nanoparticles,2008,J Blackman,books.google.com,https://books.google.com/books?hl=en&lr=&id=qRStE4M9ZAkC&oi=fnd&pg=PP1&dq=metallic+nanoparticles&ots=RURJpU6hh8&sig=vRCs0_8uxFTlBfn5lNS276318KY
144,A review of characterization and physical property studies of metallic nanoparticles,2001,JT Lue,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022369701000993
145,Synthesis of metallic nanoparticles using plant extracts,2013,AK Mittal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0734975013000050
146,Surface plasmons in metallic nanoparticles: fundamentals and applications,2011,MA García,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/0022-3727/44/28/283001/meta
147,Pharmacokinetics of metallic nanoparticles,2015,Z Lin,Library,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wnan.1304
148,Electron dynamics in metallic nanoparticles,2000,JY Bigot,Elsevier,https://www.sciencedirect.com/science/article/pii/S0301010499002980
149,Metallic nanoparticles: technology overview & drug delivery applications in oncology,2010,MZ Ahmad,Francis,https://www.tandfonline.com/doi/abs/10.1517/17425247.2010.498473
150,Introduction to metallic nanoparticles,2010,VV Mody,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2996072/
151,Biological synthesis of metallic nanoparticles,2010,KN Thakkar,Elsevier,https://www.sciencedirect.com/science/article/pii/S1549963409001154
152,Applications of biosynthesized metallic nanoparticles–a review,2014,A Schröfel,Elsevier,https://www.sciencedirect.com/science/article/pii/S1742706114002347
153, Metallic nanoparticles,2008,J Blackman,books.google.com,https://books.google.com/books?hl=en&lr=&id=qRStE4M9ZAkC&oi=fnd&pg=PP1&dq=metallic+nanoparticles&ots=RURJpU6hk9&sig=olqDfJOfO5DlpSE7r_ANRRxuccI
154,A review of characterization and physical property studies of metallic nanoparticles,2001,JT Lue,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022369701000993
155,Synthesis of metallic nanoparticles using plant extracts,2013,AK Mittal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0734975013000050
156,Surface plasmons in metallic nanoparticles: fundamentals and applications,2011,MA García,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/0022-3727/44/28/283001/meta
157,Pharmacokinetics of metallic nanoparticles,2015,Z Lin,Library,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wnan.1304
158,Electron dynamics in metallic nanoparticles,2000,JY Bigot,Elsevier,https://www.sciencedirect.com/science/article/pii/S0301010499002980
159,Metallic nanoparticles: technology overview & drug delivery applications in oncology,2010,MZ Ahmad,Francis,https://www.tandfonline.com/doi/abs/10.1517/17425247.2010.498473
160,Introduction to metallic nanoparticles,2010,VV Mody,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2996072/
161,Biological synthesis of metallic nanoparticles,2010,KN Thakkar,Elsevier,https://www.sciencedirect.com/science/article/pii/S1549963409001154
162,Applications of biosynthesized metallic nanoparticles–a review,2014,A Schröfel,Elsevier,https://www.sciencedirect.com/science/article/pii/S1742706114002347
163, Metallic nanoparticles,2008,J Blackman,books.google.com,https://books.google.com/books?hl=en&lr=&id=qRStE4M9ZAkC&oi=fnd&pg=PP1&dq=metallic+nanoparticles&ots=RURJpU6hna&sig=9WdGKsE0Y6U-IMAyrQou-8eokHQ
164,A review of characterization and physical property studies of metallic nanoparticles,2001,JT Lue,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022369701000993
165,Synthesis of metallic nanoparticles using plant extracts,2013,AK Mittal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0734975013000050
166,Surface plasmons in metallic nanoparticles: fundamentals and applications,2011,MA García,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/0022-3727/44/28/283001/meta
167,Pharmacokinetics of metallic nanoparticles,2015,Z Lin,Library,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wnan.1304
168,Electron dynamics in metallic nanoparticles,2000,JY Bigot,Elsevier,https://www.sciencedirect.com/science/article/pii/S0301010499002980
169,Metallic nanoparticles: technology overview & drug delivery applications in oncology,2010,MZ Ahmad,Francis,https://www.tandfonline.com/doi/abs/10.1517/17425247.2010.498473
170,Introduction to metallic nanoparticles,2010,VV Mody,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2996072/
171,Biological synthesis of metallic nanoparticles,2010,KN Thakkar,Elsevier,https://www.sciencedirect.com/science/article/pii/S1549963409001154
172,Applications of biosynthesized metallic nanoparticles–a review,2014,A Schröfel,Elsevier,https://www.sciencedirect.com/science/article/pii/S1742706114002347
173, Metallic nanoparticles,2008,J Blackman,books.google.com,https://books.google.com/books?hl=en&lr=&id=qRStE4M9ZAkC&oi=fnd&pg=PP1&dq=metallic+nanoparticles&ots=RURJpU6hqb&sig=w5zMe00qMkZng_xiT8ncrL4GNs0
174,A review of characterization and physical property studies of metallic nanoparticles,2001,JT Lue,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022369701000993
175,Synthesis of metallic nanoparticles using plant extracts,2013,AK Mittal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0734975013000050
176,Surface plasmons in metallic nanoparticles: fundamentals and applications,2011,MA García,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/0022-3727/44/28/283001/meta
177,Pharmacokinetics of metallic nanoparticles,2015,Z Lin,Library,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wnan.1304
178,Electron dynamics in metallic nanoparticles,2000,JY Bigot,Elsevier,https://www.sciencedirect.com/science/article/pii/S0301010499002980
179,Metallic nanoparticles: technology overview & drug delivery applications in oncology,2010,MZ Ahmad,Francis,https://www.tandfonline.com/doi/abs/10.1517/17425247.2010.498473
180,Introduction to metallic nanoparticles,2010,VV Mody,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2996072/
181,Biological synthesis of metallic nanoparticles,2010,KN Thakkar,Elsevier,https://www.sciencedirect.com/science/article/pii/S1549963409001154
182,Applications of biosynthesized metallic nanoparticles–a review,2014,A Schröfel,Elsevier,https://www.sciencedirect.com/science/article/pii/S1742706114002347
183, Metallic nanoparticles,2008,J Blackman,books.google.com,https://books.google.com/books?hl=en&lr=&id=qRStE4M9ZAkC&oi=fnd&pg=PP1&dq=metallic+nanoparticles&ots=RURJpU6ijc&sig=OcCE11hIwlGnwkhwETTaj1p2eKU
184,A review of characterization and physical property studies of metallic nanoparticles,2001,JT Lue,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022369701000993
185,Synthesis of metallic nanoparticles using plant extracts,2013,AK Mittal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0734975013000050
186,Surface plasmons in metallic nanoparticles: fundamentals and applications,2011,MA García,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/0022-3727/44/28/283001/meta
187,Pharmacokinetics of metallic nanoparticles,2015,Z Lin,Library,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wnan.1304
188,Electron dynamics in metallic nanoparticles,2000,JY Bigot,Elsevier,https://www.sciencedirect.com/science/article/pii/S0301010499002980
189,Metallic nanoparticles: technology overview & drug delivery applications in oncology,2010,MZ Ahmad,Francis,https://www.tandfonline.com/doi/abs/10.1517/17425247.2010.498473
190,Introduction to metallic nanoparticles,2010,VV Mody,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2996072/
191,Biological synthesis of metallic nanoparticles,2010,KN Thakkar,Elsevier,https://www.sciencedirect.com/science/article/pii/S1549963409001154
192,Applications of biosynthesized metallic nanoparticles–a review,2014,A Schröfel,Elsevier,https://www.sciencedirect.com/science/article/pii/S1742706114002347
193, Metallic nanoparticles,2008,J Blackman,books.google.com,https://books.google.com/books?hl=en&lr=&id=qRStE4M9ZAkC&oi=fnd&pg=PP1&dq=metallic+nanoparticles&ots=RURJpU6ime&sig=lb-KCmuuuti5Pvmxhvw1QYMV2kI
194,A review of characterization and physical property studies of metallic nanoparticles,2001,JT Lue,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022369701000993
195,Synthesis of metallic nanoparticles using plant extracts,2013,AK Mittal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0734975013000050
196,Surface plasmons in metallic nanoparticles: fundamentals and applications,2011,MA García,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/0022-3727/44/28/283001/meta
197,Pharmacokinetics of metallic nanoparticles,2015,Z Lin,Library,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wnan.1304
198,Electron dynamics in metallic nanoparticles,2000,JY Bigot,Elsevier,https://www.sciencedirect.com/science/article/pii/S0301010499002980
199,Metallic nanoparticles: technology overview & drug delivery applications in oncology,2010,MZ Ahmad,Francis,https://www.tandfonline.com/doi/abs/10.1517/17425247.2010.498473
200,Introduction to metallic nanoparticles,2010,VV Mody,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2996072/
201,Biological synthesis of metallic nanoparticles,2010,KN Thakkar,Elsevier,https://www.sciencedirect.com/science/article/pii/S1549963409001154
202,Applications of biosynthesized metallic nanoparticles–a review,2014,A Schröfel,Elsevier,https://www.sciencedirect.com/science/article/pii/S1742706114002347
203, Metallic nanoparticles,2008,J Blackman,books.google.com,https://books.google.com/books?hl=en&lr=&id=qRStE4M9ZAkC&oi=fnd&pg=PP1&dq=metallic+nanoparticles&ots=RURJpU6ipf&sig=E84YNEIBkG3kX7GNULRwON0ww2Y
204,A review of characterization and physical property studies of metallic nanoparticles,2001,JT Lue,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022369701000993
205,Synthesis of metallic nanoparticles using plant extracts,2013,AK Mittal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0734975013000050
206,Surface plasmons in metallic nanoparticles: fundamentals and applications,2011,MA García,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/0022-3727/44/28/283001/meta
207,Pharmacokinetics of metallic nanoparticles,2015,Z Lin,Library,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wnan.1304
208,Electron dynamics in metallic nanoparticles,2000,JY Bigot,Elsevier,https://www.sciencedirect.com/science/article/pii/S0301010499002980
209,Metallic nanoparticles: technology overview & drug delivery applications in oncology,2010,MZ Ahmad,Francis,https://www.tandfonline.com/doi/abs/10.1517/17425247.2010.498473
210,Introduction to metallic nanoparticles,2010,VV Mody,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2996072/
211,Biological synthesis of metallic nanoparticles,2010,KN Thakkar,Elsevier,https://www.sciencedirect.com/science/article/pii/S1549963409001154
212,Applications of biosynthesized metallic nanoparticles–a review,2014,A Schröfel,Elsevier,https://www.sciencedirect.com/science/article/pii/S1742706114002347
213, Metallic nanoparticles,2008,J Blackman,books.google.com,https://books.google.com/books?hl=en&lr=&id=qRStE4M9ZAkC&oi=fnd&pg=PP1&dq=metallic+nanoparticles&ots=RURJpU6jig&sig=Of5vA8UL-ky_KLfGxFkpjUWi0lU
214,A review of characterization and physical property studies of metallic nanoparticles,2001,JT Lue,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022369701000993
215,Synthesis of metallic nanoparticles using plant extracts,2013,AK Mittal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0734975013000050
216,Surface plasmons in metallic nanoparticles: fundamentals and applications,2011,MA García,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/0022-3727/44/28/283001/meta
217,Pharmacokinetics of metallic nanoparticles,2015,Z Lin,Library,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wnan.1304
218,Electron dynamics in metallic nanoparticles,2000,JY Bigot,Elsevier,https://www.sciencedirect.com/science/article/pii/S0301010499002980
219,Metallic nanoparticles: technology overview & drug delivery applications in oncology,2010,MZ Ahmad,Francis,https://www.tandfonline.com/doi/abs/10.1517/17425247.2010.498473
220,Introduction to metallic nanoparticles,2010,VV Mody,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2996072/
221,Biological synthesis of metallic nanoparticles,2010,KN Thakkar,Elsevier,https://www.sciencedirect.com/science/article/pii/S1549963409001154
222,Applications of biosynthesized metallic nanoparticles–a review,2014,A Schröfel,Elsevier,https://www.sciencedirect.com/science/article/pii/S1742706114002347
223, Metallic nanoparticles,2008,J Blackman,books.google.com,https://books.google.com/books?hl=en&lr=&id=qRStE4M9ZAkC&oi=fnd&pg=PP1&dq=metallic+nanoparticles&ots=RURJpU6jm8&sig=DohQFFV9gtYFlwybIFV4WNHpKvM
224,A review of characterization and physical property studies of metallic nanoparticles,2001,JT Lue,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022369701000993
225,Synthesis of metallic nanoparticles using plant extracts,2013,AK Mittal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0734975013000050
226,Surface plasmons in metallic nanoparticles: fundamentals and applications,2011,MA García,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/0022-3727/44/28/283001/meta
227,Pharmacokinetics of metallic nanoparticles,2015,Z Lin,Library,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wnan.1304
228,Electron dynamics in metallic nanoparticles,2000,JY Bigot,Elsevier,https://www.sciencedirect.com/science/article/pii/S0301010499002980
229,Metallic nanoparticles: technology overview & drug delivery applications in oncology,2010,MZ Ahmad,Francis,https://www.tandfonline.com/doi/abs/10.1517/17425247.2010.498473
230,Introduction to metallic nanoparticles,2010,VV Mody,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2996072/
231,Biological synthesis of metallic nanoparticles,2010,KN Thakkar,Elsevier,https://www.sciencedirect.com/science/article/pii/S1549963409001154
232,Applications of biosynthesized metallic nanoparticles–a review,2014,A Schröfel,Elsevier,https://www.sciencedirect.com/science/article/pii/S1742706114002347
233, Metallic nanoparticles,2008,J Blackman,books.google.com,https://books.google.com/books?hl=en&lr=&id=qRStE4M9ZAkC&oi=fnd&pg=PP1&dq=metallic+nanoparticles&ots=RURJpU6jp9&sig=53d8FfDZ8cRjXA8vJU9AdNhjR58
234,A review of characterization and physical property studies of metallic nanoparticles,2001,JT Lue,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022369701000993
235,Synthesis of metallic nanoparticles using plant extracts,2013,AK Mittal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0734975013000050
236,Surface plasmons in metallic nanoparticles: fundamentals and applications,2011,MA García,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/0022-3727/44/28/283001/meta
237,Pharmacokinetics of metallic nanoparticles,2015,Z Lin,Library,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wnan.1304
238,Electron dynamics in metallic nanoparticles,2000,JY Bigot,Elsevier,https://www.sciencedirect.com/science/article/pii/S0301010499002980
239,Metallic nanoparticles: technology overview & drug delivery applications in oncology,2010,MZ Ahmad,Francis,https://www.tandfonline.com/doi/abs/10.1517/17425247.2010.498473
